Feature,LogMaxMean,Class,LDA_score,p.value
Ruminococcus_callidus,3.34567034868,point_1,3.0544953502,1.26462184051e-05
Coprococcus_catus,3.42091262153,point_1,3.07145486309,0.00194167875211
Sutterella_wadsworthensis,3.16423479037,point_1,3.11680210657,0.00599781124531
Eubacterium_ventriosum,3.34836190248,point_1,3.17401138551,7.34876320527e-06
Bacteroidales_bacterium_ph8,2.96793237131,point_1,3.18982918881,0.000283879086797
Bifidobacterium_longum,3.24693232164,point_1,3.19423360669,0.000155730268998
Eubacterium_ramulus,3.3934589539,point_1,3.21624154171,0.000661593216314
Streptococcus_salivarius,3.69551597493,point_1,3.24349742283,0.000779833192126
Lachnospiraceae_bacterium_5_1_63FAA,2.88433223534,point_1,3.27220632172,0.000228362780419
Coprococcus_comes,3.88354797506,point_1,3.27459641711,0.00085305284065
Collinsella_aerofaciens,3.39759953611,point_1,3.31797175175,3.58470815808e-06
Eubacterium_hallii,3.82792332757,point_1,3.36398393715,0.00136710244548
Dorea_formicigenerans,3.67581520597,point_1,3.37609863403,8.60677685894e-05
Akkermansia_muciniphila,3.7903776828,point_1,3.40300801209,1.13133724297e-06
Roseburia_hominis,3.83215019801,point_1,3.48071932402,1.54154300848e-05
Bifidobacterium_adolescentis,3.74324118001,point_1,3.48628984227,1.30202588662e-06
Ruminococcus_lactaris,4.05775999031,point_1,3.52081118677,0.00514642998626
Ruminococcus_sp_5_1_39BFAA,4.2145165515,point_1,3.63130675378,0.00474614403445
Dialister_invisus,4.11931387386,point_1,3.66870344459,0.00473662702502
Eubacterium_eligens,4.24820473237,point_1,3.68307183256,0.00969429953029
Clostridium_sp_L2_50,3.99030006976,point_1,3.72103902369,0.00598555946692
Coprococcus_sp_ART55_1,4.40471886367,point_1,3.89894524557,0.00914583035067
Eubacterium_rectale,5.07602681919,point_1,4.36898104571,0.00349356631112
